SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42025,1610612750,MIN,Minnesota Timberwolves,0042500163,2026-04-23,MIN vs. DEN,W,241,113,44,93,0.473,9,34,0.265,16,21,0.762,12,41,53,31,6,5,10,27,17.0
42025,1610612743,DEN,Denver Nuggets,0042500163,2026-04-23,DEN @ MIN,L,239,96,28,82,0.341,8,32,0.25,32,40,0.8,6,34,40,12,5,2,10,18,-17.0
42025,1610612761,TOR,Toronto Raptors,0042500133,2026-04-23,TOR vs. CLE,W,242,126,50,87,0.575,14,23,0.609,12,21,0.571,11,24,35,29,11,4,11,21,22.0
42025,1610612739,CLE,Cleveland Cavaliers,0042500133,2026-04-23,CLE @ TOR,L,242,104,36,81,0.444,14,45,0.311,18,23,0.783,16,26,42,23,7,6,20,15,-22.0
42025,1610612752,NYK,New York Knicks,0042500123,2026-04-23,NYK @ ATL,L,240,108,40,93,0.43,10,35,0.286,18,20,0.9,14,32,46,19,10,5,15,17,-1.0
42025,1610612737,ATL,Atlanta Hawks,0042500123,2026-04-23,ATL vs. NYK,W,239,109,39,86,0.453,13,33,0.394,18,26,0.692,13,32,45,19,10,8,16,17,1.0
42025,1610612756,PHX,Phoenix Suns,0042500142,2026-04-22,PHX @ OKC,L,238,107,39,85,0.459,11,31,0.355,18,22,0.818,15,29,44,23,7,1,21,25,-13.0
42025,1610612760,OKC,Oklahoma City Thunder,0042500142,2026-04-22,OKC vs. PHX,W,238,120,43,91,0.473,14,40,0.35,20,25,0.8,12,28,40,24,14,6,10,21,13.0
42025,1610612753,ORL,Orlando Magic,0042500102,2026-04-22,ORL @ DET,L,241,83,26,80,0.325,8,32,0.25,23,32,0.719,13,29,42,17,16,6,17,25,-15.0
42025,1610612765,DET,Detroit Pistons,0042500102,2026-04-22,DET vs. ORL,W,241,98,39,85,0.459,6,26,0.231,14,24,0.583,17,40,57,22,9,11,22,23,15.0
42025,1610612745,HOU,Houston Rockets,0042500172,2026-04-21,HOU @ LAL,L,240,94,36,89,0.404,7,29,0.241,15,19,0.789,17,25,42,23,8,6,15,22,-7.0
42025,1610612747,LAL,Los Angeles Lakers,0042500172,2026-04-21,LAL vs. HOU,W,240,101,33,72,0.458,13,28,0.464,22,28,0.786,9,28,37,21,11,5,12,20,7.0
42025,1610612759,SAS,San Antonio Spurs,0042500152,2026-04-21,SAS vs. POR,L,241,103,38,86,0.442,7,24,0.292,20,28,0.714,12,33,45,19,13,5,16,21,-3.0
42025,1610612757,POR,Portland Trail Blazers,0042500152,2026-04-21,POR @ SAS,W,240,106,38,89,0.427,13,38,0.342,17,23,0.739,15,28,43,20,8,11,15,23,3.0
42025,1610612738,BOS,Boston Celtics,0042500112,2026-04-21,BOS vs. PHI,L,240,97,35,89,0.393,13,50,0.26,14,18,0.778,18,32,50,24,3,4,11,17,-14.0
42025,1610612755,PHI,Philadelphia 76ers,0042500112,2026-04-21,PHI @ BOS,W,240,111,43,90,0.478,19,39,0.487,6,11,0.545,12,30,42,18,6,4,7,17,14.0
42025,1610612750,MIN,Minnesota Timberwolves,0042500162,2026-04-20,MIN @ DEN,W,240,119,43,90,0.478,14,34,0.412,19,30,0.633,9,40,49,30,6,2,12,30,5.0
42025,1610612743,DEN,Denver Nuggets,0042500162,2026-04-20,DEN vs. MIN,L,239,114,38,86,0.442,15,41,0.366,23,30,0.767,5,38,43,28,5,1,9,24,-5.0
42025,1610612739,CLE,Cleveland Cavaliers,0042500132,2026-04-20,CLE vs. TOR,W,240,115,44,83,0.53,13,40,0.325,14,22,0.636,8,27,35,22,13,5,12,20,10.0
42025,1610612761,TOR,Toronto Raptors,0042500132,2026-04-20,TOR @ CLE,L,241,105,42,83,0.506,7,26,0.269,14,17,0.824,12,30,42,23,8,3,22,24,-10.0
42025,1610612737,ATL,Atlanta Hawks,0042500122,2026-04-20,ATL @ NYK,W,240,107,40,81,0.494,9,30,0.3,18,23,0.783,6,30,36,22,9,7,11,26,1.0
42025,1610612752,NYK,New York Knicks,0042500122,2026-04-20,NYK vs. ATL,L,240,106,39,87,0.448,11,34,0.324,17,27,0.63,14,33,47,22,5,4,14,21,-1.0
42025,1610612759,SAS,San Antonio Spurs,0042500151,2026-04-19,SAS vs. POR,W,239,111,40,84,0.476,15,33,0.455,16,19,0.842,11,34,45,24,6,5,13,19,13.0
42025,1610612757,POR,Portland Trail Blazers,0042500151,2026-04-19,POR @ SAS,L,241,98,39,91,0.429,10,38,0.263,10,12,0.833,8,30,38,28,9,2,10,17,-13.0
42025,1610612760,OKC,Oklahoma City Thunder,0042500141,2026-04-19,OKC vs. PHX,W,241,119,42,93,0.452,14,46,0.304,21,23,0.913,19,35,54,28,13,7,6,22,35.0
42025,1610612756,PHX,Phoenix Suns,0042500141,2026-04-19,PHX @ OKC,L,241,84,29,83,0.349,13,39,0.333,13,18,0.722,14,31,45,16,3,2,17,18,-35.0
42025,1610612738,BOS,Boston Celtics,0042500111,2026-04-19,BOS vs. PHI,W,238,123,45,90,0.5,16,44,0.364,17,22,0.773,5,38,43,31,7,3,8,21,32.0
42025,1610612755,PHI,Philadelphia 76ers,0042500111,2026-04-19,PHI @ BOS,L,239,91,35,90,0.389,4,23,0.174,17,23,0.739,11,29,40,20,3,1,14,20,-32.0
42025,1610612753,ORL,Orlando Magic,0042500101,2026-04-19,ORL @ DET,W,240,112,44,90,0.489,10,34,0.294,14,19,0.737,11,34,45,26,11,6,12,24,11.0
42025,1610612765,DET,Detroit Pistons,0042500101,2026-04-19,DET vs. ORL,L,239,101,31,77,0.403,10,32,0.313,29,38,0.763,6,33,39,19,9,6,14,17,-11.0
42025,1610612747,LAL,Los Angeles Lakers,0042500171,2026-04-18,LAL vs. HOU,W,240,107,40,66,0.606,10,19,0.526,17,26,0.654,3,32,35,29,7,8,18,25,9.0
42025,1610612745,HOU,Houston Rockets,0042500171,2026-04-18,HOU @ LAL,L,240,98,35,93,0.376,11,33,0.333,17,25,0.68,21,23,44,24,13,3,13,22,-9.0
42025,1610612750,MIN,Minnesota Timberwolves,0042500161,2026-04-18,MIN @ DEN,L,239,105,40,87,0.46,11,34,0.324,14,19,0.737,7,36,43,21,7,3,13,25,-11.0
42025,1610612743,DEN,Denver Nuggets,0042500161,2026-04-18,DEN vs. MIN,W,239,116,38,87,0.437,10,36,0.278,30,33,0.909,8,39,47,27,7,1,13,17,11.0
42025,1610612739,CLE,Cleveland Cavaliers,0042500131,2026-04-18,CLE vs. TOR,W,241,126,44,81,0.543,16,32,0.5,22,28,0.786,7,26,33,24,9,0,15,28,13.0
42025,1610612761,TOR,Toronto Raptors,0042500131,2026-04-18,TOR @ CLE,L,239,113,37,71,0.521,13,27,0.481,26,35,0.743,4,23,27,29,3,4,17,23,-13.0
42025,1610612737,ATL,Atlanta Hawks,0042500121,2026-04-18,ATL @ NYK,L,240,102,38,87,0.437,14,37,0.378,12,19,0.632,8,32,40,25,5,3,12,21,-11.0
42025,1610612752,NYK,New York Knicks,0042500121,2026-04-18,NYK vs. ATL,W,241,113,38,80,0.475,12,25,0.48,25,30,0.833,6,39,45,22,7,5,11,24,11.0
52025,1610612744,GSW,Golden State Warriors,0052500211,2026-04-17,GSW @ PHX,L,240,96,33,74,0.446,11,33,0.333,19,23,0.826,12,27,39,22,5,0,20,19,-15.0
52025,1610612756,PHX,Phoenix Suns,0052500211,2026-04-17,PHX vs. GSW,W,240,111,39,81,0.481,18,49,0.367,15,15,1.0,9,27,36,23,14,4,12,23,15.0
